Fecha ,Confirmados 
27/02/20,1
28/02/20,3
29/02/20,4
01/03/20,5
02/03/20,5
03/03/20,5
04/03/20,5
05/03/20,5
06/03/20,6
07/03/20,7
08/03/20,7
09/03/20,7
10/03/20,7
11/03/20,11
12/03/20,15
13/03/20,26
14/03/20,41
15/03/20,53
16/03/20,82
17/03/20,93
18/03/20,118
19/03/20,164
20/03/20,203
21/03/20,251
22/03/20,316
23/03/20,367
24/03/20,405
25/03/20,475
26/03/20,585
27/03/20,717
28/03/20,848
29/03/20,993
30/03/20,1094
31/03/20,1215
01/04/20,1378
02/04/20,1510
03/04/20,1688
04/04/20,1890
05/04/20,2143
06/04/20,2439
07/04/20,2785
08/04/20,3181
09/04/20,3441
10/04/20,3844
11/04/20,4219
12/04/20,4661
13/04/20,5014
